gtsid,gtsterm,rankid,rankname,myaStart,myaEnd,parentgtsid,geoTimeID,initialTimestamp
1,Precambrian,10,superera,4567,538.8,NULL,1374,10/17/24 19:59
2,Phanerozoic,20,eon,538.8,0,NULL,1376,10/17/24 19:59
3,Proterozoic,20,eon,2500,538.8,1,1377,10/17/24 19:59
4,Archean,20,eon,4031,2500,1,1378,10/17/24 19:59
5,Hadean,20,eon,4567,4031,1,1375,10/17/24 19:59
6,Cenozoic,30,era,66,0,2,1383,10/17/24 19:59
7,Mesozoic,30,era,251.902,66,2,1385,10/17/24 19:59
8,Paleozoic,30,era,538.8,251.902,2,1388,10/17/24 19:59
9,Neoproterozoic,30,era,1000,538.8,3,1386,10/17/24 19:59
10,Mesoproterozoic,30,era,1600,1000,3,1384,10/17/24 19:59
11,Paleoproterozoic,30,era,2500,1600,3,1387,10/17/24 19:59
12,Neoarchean,30,era,2800,2500,4,1381,10/17/24 19:59
13,Mesoarchean,30,era,3200,2800,4,1380,10/17/24 19:59
14,Paleoarchean,30,era,3600,3200,4,1382,10/17/24 19:59
15,Eoarchean,30,era,4031,3600,4,1379,10/17/24 19:59
16,Quaternary,40,period,2.58,0,6,1402,10/17/24 19:59
17,Neogene,40,period,23.03,2.58,6,1401,10/17/24 19:59
18,Paleogene,40,period,66,23.03,6,1406,10/17/24 19:59
19,Cretaceous,40,period,145,66,7,1400,10/17/24 19:59
20,Jurassic,40,period,201.4,145,7,1404,10/17/24 19:59
21,Triassic,40,period,251.902,201.4,7,1408,10/17/24 19:59
22,Permian,40,period,298.9,251.902,8,1407,10/17/24 19:59
23,Carboniferous,40,period,358.9,298.9,8,1399,10/17/24 19:59
24,Devonian,40,period,419.2,358.9,8,1403,10/17/24 19:59
25,Silurian,40,period,443.8,419.2,8,1410,10/17/24 19:59
26,Ordovician,40,period,485.4,443.8,8,1405,10/17/24 19:59
27,Cambrian,40,period,538.8,485.4,8,1409,10/17/24 19:59
28,Ediacaran,40,period,635,538.8,9,1392,10/17/24 19:59
29,Cryogenian,40,period,720,635,9,1390,10/17/24 19:59
30,Tonian,40,period,1000,720,9,1398,10/17/24 19:59
31,Stenian,40,period,1200,1000,10,1397,10/17/24 19:59
32,Ectasian,40,period,1400,1200,10,1391,10/17/24 19:59
33,Calymmian,40,period,1600,1400,10,1389,10/17/24 19:59
34,Statherian,40,period,1800,1600,11,1396,10/17/24 19:59
35,Orosirian,40,period,2050,1800,11,1393,10/17/24 19:59
36,Rhyacian,40,period,2300,2050,11,1394,10/17/24 19:59
37,Siderian,40,period,2500,2300,11,1395,10/17/24 19:59
38,Holocene,50,epoch,0.0117,0,16,1432,10/17/24 19:59
39,Pleistocene,50,epoch,2.58,0.0117,16,1444,10/17/24 19:59
40,Pliocene,50,epoch,5.333,2.58,17,1425,10/17/24 19:59
41,Miocene,50,epoch,23.03,5.333,17,1446,10/17/24 19:59
42,Oligocene,50,epoch,33.9,23.03,18,1424,10/17/24 19:59
43,Eocene,50,epoch,56,33.9,18,1441,10/17/24 19:59
44,Paleocene,50,epoch,66,56,18,1436,10/17/24 19:59
45,Late Cretaceous,50,epoch,100.5,66,19,1447,10/17/24 19:59
46,Early Cretaceous,50,epoch,145,100.5,19,1445,10/17/24 19:59
47,Late Jurassic,50,epoch,161.5,145,20,1437,10/17/24 19:59
